
[PMH2004]|RAJ2000|DEJ2000|CFlux|Class
 |"h:m:s"|"d:m:s"|mW/m2|
---|-----------|-----------|---------|--------------------
283|01 34 26.43|+30 48 14.4| 2.33e-15|<hard>
284|01 34 26.59|+30 37 40.3| 3.34e-15|
285|01 34 26.80|+31 11 24.7| 8.85e-14|<hard>
286|01 34 26.93|+30 43 14.2| 7.47e-15|<hard>
287|01 34 27.26|+31 08 35.3| 6.26e-15|<hard>
288|01 34 28.17|+30 32 48.1| 7.61e-15|<hard>
289|01 34 28.27|+31 00 02.0| 8.84e-15|<hard>
290|01 34 29.09|+30 42 16.1| 1.18e-15|<hard>
292|01 34 29.72|+30 50 27.3| 6.19e-15|<hard>
293|01 34 31.99|+30 34 53.6| 2.02e-14|<hard>
294|01 34 32.06|+30 51 59.7| 2.38e-14|<hard>
295|01 34 32.44|+30 50 37.4| 3.36e-15|<hard>
296|01 34 32.44|+30 34 37.1| 4.91e-15|<hard>
298|01 34 32.99|+30 38 57.9| 2.87e-15|<hard>
301|01 34 33.83|+31 01 57.8| 9.24e-15|<hard>
302|01 34 34.45|+30 59 25.8| 3.70e-15|<hard>
304|01 34 35.10|+30 56 47.0| 2.75e-14|<hard>
305|01 34 35.93|+30 34 50.3| 1.08e-14|<hard>
306|01 34 36.23|+30 47 14.1| 1.13e-14|
307|01 34 38.46|+31 01 58.6| 3.92e-14|<hard>
309|01 34 38.68|+30 45 40.1| 1.66e-14|<hard>
310|01 34 38.75|+30 55 05.2| 1.90e-13|<hard>
311|01 34 39.75|+30 29 50.0| 3.95e-15|
312|01 34 39.87|+30 51 44.5| 7.83e-15|<hard>
315|01 34 41.08|+30 39 24.6| 1.64e-15|<hard>
316|01 34 41.55|+31 05 34.7| 5.76e-15|<hard>
317|01 34 41.99|+30 52 29.0| 4.40e-15|<hard>
318|01 34 42.28|+30 22 00.1| 6.47e-15|<hard>
319|01 34 42.41|+30 52 49.3| 8.22e-15|<hard>
